outer_fold,selected_calibration_method,threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost,selected_threshold
2,isotonic,0.49,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5942028985507246,0.4270833333333333,0.49696969696969695,0.6510416666666666,0.875,0.740625,392,56,110,82,606,0.946875,False
2,isotonic,0.5,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.6111111111111112,0.4010416666666667,0.48427672955974843,0.6458333333333334,0.890625,0.74375,399,49,115,77,624,0.975,False
3,isotonic,0.05,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.32593856655290104,0.9947916666666666,0.4910025706940874,0.5565476190476191,0.11830357142857142,0.38125,53,395,1,191,400,0.625,False
3,isotonic,0.06,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.3298611111111111,0.9895833333333334,0.4947916666666667,0.5639880952380952,0.13839285714285715,0.39375,62,386,2,190,396,0.61875,False
3,isotonic,0.07,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.3310104529616725,0.9895833333333334,0.4960835509138381,0.5662202380952381,0.14285714285714285,0.396875,64,384,2,190,394,0.615625,False
3,isotonic,0.08,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.33810375670840787,0.984375,0.5033288948069241,0.5792410714285714,0.17410714285714285,0.4171875,78,370,3,189,385,0.6015625,False
3,isotonic,0.09,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.3411978221415608,0.9791666666666666,0.506056527590848,0.5844494047619048,0.18973214285714285,0.4265625,85,363,4,188,383,0.5984375,False
3,isotonic,0.1,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.3517110266159696,0.9635416666666666,0.5153203342618384,0.6011904761904762,0.23883928571428573,0.45625,107,341,7,185,376,0.5875,False
3,isotonic,0.11,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.36327345309381237,0.9479166666666666,0.5252525252525253,0.6179315476190476,0.28794642857142855,0.4859375,129,319,10,182,369,0.5765625,False
3,isotonic,0.12,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.36809815950920244,0.9375,0.5286343612334802,0.6238839285714286,0.31026785714285715,0.4984375,139,309,12,180,369,0.5765625,False
